Original Dataset Image,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
28.35,10.88,32.16,42.62,68,58,36
26.05,33.19,25.22,29.79,31,33,19
37.58,65.98,28.4,27.11,37,49,19
17.14,25.77,29.23,43.64,32,68,34
30.13,20.9,17.93,25.45,60,42,38
3.15,22.22,-4.8,12.14,56,43,50
26.52,28.92,19.52,21.73,31,22,30
18.66,26.11,22.92,33.36,46,67,36
12.02,21.08,11.38,23.51,30,63,18
71.36,48.87,39.14,27.04,41,32,43
26.63,23.06,30.18,44.64,29,36,39
23.55,28.64,50.74,66.92,33,23,31
18.84,26.41,11.95,21.79,39,33,43
3.27,0.85,36.89,58.25,41,30,37
111.57,48.42,81.53,87.18,37,21,42
16.99,13.08,26.11,35.02,35,34,37
33.86,26.71,21.87,33.86,80,42,44
14.19,30.57,9.23,34.1,15,18,19
3.53,8.94,13.72,23.94,28,39,23
39.01,33.44,14.83,27.38,37,45,52
25.5,41.06,15.88,22.05,49,38,41
10.24,20.23,1.43,19.09,25,35,27
10.71,9.18,10.51,27.6,37,57,33
15.99,20.17,24.85,40.24,44,30,38
27.6,18.27,6.97,24.87,43,36,34
40.92,12.17,20.7,28.07,34,35,45
49.83,46.27,32.63,27.93,23,23,33
11.59,20.45,20.24,28.17,39,13,12
42.33,31.29,16,17.27,29,30,17
32.12,17.67,20.03,28.02,38,49,51
32.73,53.25,22.23,23.54,54,14,43
30.96,26.64,18.36,26.81,41,45,54
59.91,37.6,20.95,37.17,25,12,14
41.91,29.94,53.59,68.28,21,60,55
11.95,22.04,9.37,13.22,69,68,50
11.87,13.39,31.11,51.35,40,41,38
13.99,15.14,29.47,34.3,43,33,47
96.25,39.41,46.6,48.55,14,20,17
29.88,31.2,4.81,18.62,39,29,57
7.95,18.75,48.97,71.76,32,30,47
13.9,32.77,6.87,20.02,42,27,43
26.17,32.41,12.05,15.66,46,87,50
37.21,38.84,18.23,26.92,23,17,18
31.92,39.09,23.27,20.2,49,35,46
25.61,21.08,33.2,58.08,31,22,31
23.68,24.56,21.1,36.33,26,27,35
19.71,27.86,4.15,3.02,37,38,28
12.66,27.39,13.51,10.74,14,43,52
53.5,47.24,26.22,37.71,47,44,33
62.41,27.59,24.26,50.64,33,47,31
88.83,57.06,54.73,63.22,28,21,27
41.45,52.09,28.95,14.68,29,23,21
22.45,34.6,23.17,17.72,45,44,58
11.93,20.22,16.52,21.16,47,39,23
39.04,26.29,20.33,26.03,30,30,33
98.92,29.18,40.78,54.77,51,41,48
12.56,16.74,19.41,28.95,40,43,42
79.76,28.57,40.12,35.96,39,32,47
5.9,19.38,13.85,17.73,41,31,46
32.93,39.39,13.21,20.45,60,33,47
20.15,34.16,14.64,17.75,21,49,35
16.05,27.7,9.08,19.07,17,73,57
48.82,26.11,27.36,36.91,33,25,31
40.26,24.42,24.71,38.08,36,28,36
13.24,25.22,16.81,22.02,53,39,51
21.28,40.25,13.3,10.64,46,7,29
25.19,30.91,19.58,36.42,47,46,48
11.66,17.04,16.12,24.85,32,43,29
11.12,32.29,13.48,21.53,25,17,25
30.87,48.65,28.86,23.85,17,21,21
7.43,21.35,15.14,25.5,47,31,36
89.27,53.02,39.75,60.55,23,20,17
13.62,25.02,12.14,23.07,38,35,38
17.49,20.33,10.86,30.46,58,43,53
20.9,31.64,12.66,23.16,80,69,46
15.52,25.76,4.33,23.73,45,27,50
24.61,30.8,25.42,24.59,63,69,46
69.5,30.03,21.76,37.32,63,56,48
24.45,34.95,4.19,16.82,33,18,24
18.97,33.49,12.59,28.12,17,29,13
19.75,19.03,22.26,29.42,37,25,40
30.63,35.35,12.47,10.61,40,30,45
19.93,25.71,23.96,25.68,26,21,22
36.91,48.15,32.64,7.13,48,46,45
16.89,27.24,19.41,34.43,32,23,29
7.31,5.99,25.05,37.49,18,17,25
16.56,30.35,16.52,29.83,37,34,38
42.84,47,8.84,3.29,62,46,43
14.26,32.06,11.33,26.55,36,44,46
13.98,15.76,13.85,25.59,50,42,45
20.24,33.5,21.18,22.4,44,28,36
55.93,20.04,30.53,39.71,22,23,47
29.3,27.8,51.22,53.39,22,18,24
57.95,44.59,21.73,56.4,65,46,51
14.67,8.83,30.14,49.04,39,32,36
30.96,1.48,20.78,39.24,35,43,52
4.81,16.19,18.15,36.72,39,30,48
14.86,14.69,15.81,33.41,70,70,50
33.9,31.05,14.46,19.71,49,41,48
74.37,55.44,40.92,39.41,21,67,39
25.24,27.59,37.36,40.18,33,20,34
25.77,24.34,22.59,34.83,47,39,43
18.42,18.39,21.6,27,33,39,26
14.48,21.97,14.37,15.62,23,17,24
30.03,38.92,15.82,13,30,22,28
22.67,34.84,18.8,19.27,27,39,44
12.13,43.79,16.69,7.23,61,45,32
76.23,44.55,43.2,78.46,46,92,62
22.76,30.26,30.89,44.06,29,35,22
30.03,41.07,23.69,18.52,53,15,81
76.9,40.31,42.37,65.64,38,56,18
24.53,25.83,15.7,20.95,37,41,35
25.85,45.01,24.47,14.17,32,33,20
25.87,27.64,29.45,36.93,31,35,24
21.82,23.92,21.79,31.09,82,99,68
36.35,39.82,30.12,24.54,57,40,71
28.8,33.61,37.49,54.75,47,39,38
47.55,36.75,40.1,52.37,27,19,26
95.88,50.81,55.2,61.97,86,87,69
22.15,22.72,25.23,31.53,33,25,31
47.91,46.15,14.28,15.2,35,30,37
26.49,33.61,30.91,31.82,28,34,35
16.07,24.49,12.69,18.71,46,32,37
24.11,24.63,25.76,32.29,37,22,37
10.43,12.33,16.08,11.11,42,65,53
35.31,45.8,35.12,24.1,37,33,26
20.29,57.75,18.5,25.68,57,108,36
14.33,41.92,20.01,4.13,61,45,22
43.02,47.37,17.09,16.93,79,73,42
22.94,25.25,21.04,25.73,19,48,54
27.86,35.3,18.2,13.09,31,24,20
24.35,19.39,21.51,29.68,54,38,23
67.79,53.77,26.1,28.23,82,69,49
8.72,13.51,24.85,43.26,25,42,20
22.8,20.44,14.84,27.34,51,43,30
41.29,20.92,25.59,35.18,42,54,65
43.13,40.52,24.64,27.56,38,25,42
16.37,24.22,6.04,30.26,40,41,52
3.4,10.91,5.88,18.76,46,38,44
20.24,23.65,27.34,39.3,24,25,22
31.29,19.5,33.23,29.48,42,33,30
24.6,28,29.77,39.4,31,62,25
17.64,22.02,15.53,19.65,46,41,50
14.35,22.88,16.91,15.15,31,25,25
20.41,14.17,21.82,49.12,32,31,30
8.97,7.35,28.07,45.93,14,44,25
23.53,37.03,30.18,18.54,33,50,37
24.28,37.2,17.68,19.72,43,96,53
21.85,32.59,27.11,29.85,17,16,19
18.28,22.03,20.2,27.27,29,32,27
11.28,18.63,16.71,26.89,45,44,50
29.53,28.86,17.84,37.76,38,28,35
33.37,39.15,27.33,24.12,51,42,50
23.09,27.8,22.25,21.68,92,101,55
30.66,37.64,13.1,20.51,80,80,71
17.08,17.16,14.34,22.17,44,38,44
30.29,15.3,57.4,80.98,42,39,42
10.76,15.27,24.82,48.33,41,30,42
28.66,57.82,8.45,20.78,41,30,39
23.89,25.23,27.06,37.72,23,56,42
10.98,16.65,16.09,29.64,20,22,38
21.27,31.62,18.69,18.85,31,16,38
37.91,39.97,39.43,30.16,42,35,43
26.52,28.19,17.36,32.7,60,45,39
8.82,47.07,7.13,20.39,39,37,30
13.41,19.68,15.94,22.03,25,2,20
10.68,14.46,29.33,35.83,47,58,41
15.91,24.19,15.34,35.01,40,29,35
11.92,16.52,19.67,27.83,29,17,35
64.43,28.88,34.14,29.51,58,116,58
9.03,11.39,20.38,36.59,20,104,35
8.79,21.02,20.31,27.92,72,76,26
29.49,17.89,49.23,54.63,43,35,38
10.97,21.88,16.86,18.84,55,57,92
20.87,23.3,29.04,38.55,14,23,24
23.97,36.15,19.28,16.69,40,35,35
19.16,29.56,25.83,20.21,50,41,55
17.88,24.29,23.14,37.97,38,48,20
8.69,3.12,39.69,61.34,41,51,35
38.58,39.4,20.1,27.25,59,47,46
13.25,22.29,24.45,23.27,24,16,23
28.61,17.94,25.38,33.92,11,24,29
14.75,10.66,7.6,19.63,26,33,28
51.3,31.91,25.68,39.36,39,39,37
12.24,16.74,17.7,24.12,20,26,27
27.03,29.07,26.4,26.55,22,13,22
38.76,19.79,26.38,45.29,26,25,19
-0.19,9.73,16.85,28.53,20,18,17
10.52,8.14,12.67,34.11,41,44,40
23.69,40.92,33.11,49.74,22,24,22
24.29,26.98,24.59,26.54,40,32,37
12.34,15.28,21.1,36.3,28,34,38
22.65,26.02,30.46,36.04,40,29,44
16.12,20.31,10.02,12.98,38,28,40
10.32,14.49,17.83,32.1,31,28,25
12.12,22.14,24.69,40.35,70,53,60
23.02,7.93,26.85,32.18,33,56,34
3.97,2.29,5.27,37.77,18,17,25
31.64,12.16,15.9,43.66,39,33,43
9.06,9.04,17.32,36.29,47,21,47
27.29,25.39,37.44,55.04,36,42,31
35.87,28.69,29.32,36.83,45,22,44
44.94,54.57,31.82,31.05,41,30,44
10.2,8.57,14.67,34.37,31,25,25
15.14,21.17,17.85,23.01,25,32,26
30.26,23.8,9.99,38.62,29,27,19
6.46,11.7,16.29,32.39,65,62,49
49.02,46.59,31.81,25.35,50,40,51
30.24,29.66,40.64,41.05,46,26,47
34.9,23.67,29,32.56,29,21,35
30.98,37.36,33.13,32.41,66,60,37
11.04,6.75,17.47,33.91,49,32,49
21.2,18.93,16.48,21.16,47,37,39
39.69,30.98,18.93,39.08,37,36,35
94.96,58.67,53.96,75.28,86,79,58
33.61,25.89,29.84,36.18,26,35,32
88.38,21.74,22.26,38.99,48,55,52
19.71,33.97,16.42,22.76,35,37,25
39.18,56.64,15.51,15.55,38,26,22
27.28,6.3,39.95,61.52,30,22,27
31.11,61.82,11.7,15.73,33,25,32
33.81,39.25,22.54,15.98,43,54,30
15.34,10.22,15.46,35.89,8,26,17
4.8,17.28,25.84,45.06,55,38,51
28.35,14.87,47.67,68.4,44,32,49
28.94,12.35,30.19,32.15,39,28,32
14.56,14.16,20.12,20.63,32,25,27
34.17,36.06,4.96,13.4,34,29,33
23.47,32.33,20.04,7.56,32,44,39
34.11,29.82,25.11,28.15,21,22,21
11.12,15.09,8.67,16.99,25,50,57
7.47,-0.36,35.51,58.9,46,46,50
36.26,51.04,23.8,30.5,86,87,69
28.2,14.59,40.26,55.49,50,56,42
17.17,20.79,20.62,29.54,51,35,23
13.33,20.91,15.25,9.3,36,30,39
27.73,20.86,-1.97,11.14,28,21,31
30.38,26.7,23.39,35.82,43,23,47
78.66,38.98,25.52,23.33,40,30,43
59.44,40.09,32.82,28.04,28,32,28
39.14,23.48,57.37,74.09,56,43,44
44.26,18.9,33.43,41.82,38,36,27
22.72,24.35,11.08,17.84,41,31,52
33.21,32.46,23.44,25.8,24,39,36
35.99,18.73,30.27,52.65,15,47,37
17.55,-4.5,33.76,61.95,48,28,31
10.9,3.78,48.56,70.77,84,69,69
8.47,20.73,9.8,34.67,47,18,31
21.5,5.93,41.46,66.78,46,47,49
8.95,11.96,13.52,40.45,26,24,40
32.56,67.11,29.65,20.42,44,37,41
81.87,75.03,38.6,28.13,49,34,41
15.4,23.76,15.76,27.24,61,47,45
50.58,44.04,22.75,25.49,56,39,54
41.9,35.57,25.13,40.25,39,35,43
14.3,20.21,20.21,32.42,40,67,41
8.97,25.21,19.51,53.85,41,34,38
25.15,38.49,24.4,28.38,44,86,25
13.51,18.62,28.36,49.47,39,21,26
32.69,21.76,36.87,51.74,39,42,52
20.07,13.4,40.05,51.72,68,67,56
28.57,36.99,23.37,57.11,47,45,43
44.94,38,32.98,29.45,24,36,31
21.2,30.43,14.79,14.6,43,47,46
29.07,28.92,39.79,46.82,43,39,39
48.81,24.45,28.29,28.28,71,81,42
7.95,10.8,17.24,35.42,20,60,61
21.93,24.93,28.43,41.5,25,17,25
14.86,19.66,21.11,33.99,29,27,19
3.74,9.96,30.1,46.43,18,63,39
16.86,26.91,21.11,31.16,41,37,36
16.37,26.2,13.9,27.55,41,33,39
-4.61,-1.27,25.94,51.81,81,75,63
10,23.85,15.02,17.37,32,21,27
28.47,26.23,25.22,25.68,64,35,50
27.92,41.19,24.22,26.83,83,75,43
21.61,21.31,14.07,22.83,56,32,46
17.64,29.19,14.87,27.57,33,26,16
-2.32,9.6,20.53,43.49,40,81,34
36.81,17.52,37.6,41.51,38,26,33
6.97,23.7,5.61,13.19,26,7,16
36.79,33.49,22.33,23.28,46,36,47
34.4,35.87,20.17,29.96,31,18,35
57.85,42.93,18.36,17.26,50,30,37
8.54,11.04,22.43,47.65,19,38,16
40.11,37.42,25.71,29.52,43,43,50
26.96,29.3,30.22,39.4,55,107,49
16.11,23.43,19.59,29.91,26,93,35
51.01,46.39,19.89,41.28,35,49,39
28.67,29.59,33.02,42.93,46,34,53
19.8,25.3,29.36,50.42,52,69,40
2.32,7.62,15.18,24.61,41,55,32
32.2,35.17,35.41,45.94,41,62,51
52.62,70.33,43.31,57.22,25,27,9
19.59,39.91,11.06,9.77,27,29,22
30.77,17.98,22.42,34.9,38,72,30
25.71,31.12,25.26,37.8,28,36,35
33.43,21.29,42.45,54.69,56,42,53
17.18,16.78,24.03,39.69,41,33,46
14.15,23.02,15.92,20.34,23,26,19
28.58,35.47,7.63,16.52,30,99,8
13.59,22.15,21.21,30.5,22,44,30
34.02,40.5,21.72,26.44,66,65,56
88.44,29.14,61.7,80.58,36,36,42
23.11,36.91,21.41,21.16,26,20,37
7.22,20.21,11.73,30.17,33,49,57
36.15,32.34,14.23,26.6,29,34,23
72.68,46.13,57.78,81.39,37,32,25
14.88,19.73,15.26,22.5,52,48,41
61.92,50.43,24.62,23.31,44,39,27
10.17,22.65,6.46,22.65,26,15,20
13.27,8.87,21.67,40.29,73,57,39
40.6,51.33,55.83,57.46,45,39,43
18.37,19.46,13.39,31.6,60,74,44
33.01,11.76,26.16,47.83,15,41,21
17.42,26.34,16.45,33.28,17,44,25
54.19,26.2,17.8,32.67,41,46,46
26.03,27.74,27.14,22.23,55,49,39
30.34,51.63,19.86,23.4,22,23,47
4.02,15.92,11.84,26.72,39,59,35
21.2,18.93,16.48,21.16,35,21,24
12.11,14.81,12.62,19.79,39,27,45
8.16,1.97,14.25,37.44,48,36,48
22.07,32.49,21.44,21.75,42,36,50
35.61,49.46,11.17,9.93,78,70,46
16.46,27.18,17.22,30.41,43,45,26
14.05,16.86,13.99,36.75,30,35,28
35.78,31.32,24.2,32.87,38,36,42
12.98,16.83,22.71,45.57,73,69,42
24.34,26.64,19.44,26.43,29,17,35
23.99,27.54,25.88,32.6,35,46,26
50.69,38.03,26.72,37.34,52,32,37
28.07,17.94,24.48,41.05,38,29,39
15.55,46.4,18.53,22.08,46,67,36
5.6,12.85,10.79,20.38,31,16,38
61.7,38.2,37.97,65.32,43,66,31
10,17.37,11.08,22.52,32,26,40
22.84,24.4,-4.79,-0.12,35,18,44
95.3,72.01,74.55,91.57,28,24,19
28.37,12.06,44.93,63.76,19,62,50
5.95,13.99,35.66,58.46,35,44,37
74.04,27.41,40.88,33.75,28,22,22
20.32,17.53,29.32,57.11,51,21,44
67.17,52.71,36.93,49.78,40,42,54
18.42,24.85,13.22,21.62,41,34,42
39.76,30.8,28.23,33.69,29,17,23
44.97,34.81,18.22,27.09,65,44,50
32.45,26.54,11.86,35.93,53,37,44
19.87,19.36,17.98,24.61,26,35,41
3.78,15.92,12.1,22.79,45,40,43
37.23,51.98,28.65,21.57,26,49,23
22.12,8.61,17.22,26.15,32,22,36
20.92,32.81,19.67,32.98,29,126,33
46.25,54.72,33.76,24.72,27,20,32
10.39,13.74,23.5,29.9,13,55,40
24.08,5.7,47.18,56.74,38,39,43
25.71,25.01,18.32,24.84,47,37,44
19.62,38.65,15.09,18.99,65,49,63
11.57,47.72,18.08,28.83,20,27,20
34.54,25.96,8.75,16.42,28,48,25
5.05,4.58,8.65,28.56,45,39,50
15.69,23.23,17.43,29.75,43,33,52
79.85,36.61,31.99,46.46,31,61,17
49.24,10.87,26.77,33.57,42,38,40
14.32,18.01,19.34,33.46,72,56,53
-0.44,21.93,16.66,35.35,49,39,52
47.41,40.86,13.07,14.31,38,51,58
20.86,23.25,20.48,27.4,24,52,21
16.19,26.86,21.53,33.32,72,64,40
11.74,16.45,21.41,37.68,44,32,37
9.4,12,26.34,47.34,45,47,53
27.81,39.56,13.8,27.54,35,30,37
6.85,23.91,0.56,8.48,25,2,20
18.6,30.33,30.47,34.05,35,52,53
12.81,9.05,43.14,63.07,17,36,47
80.16,29.17,31.98,48.08,81,63,74
22.24,16.21,18.99,42.19,20,35,25
17.95,12.38,16.14,26.38,41,20,43
68.13,57.7,36.79,18.05,44,43,46
17.82,23.93,20.42,28.03,37,42,40
27.43,25.27,16.2,26.42,5,35,43
20.65,36.04,19.24,26,26,8,40
44.18,39.9,27.57,29.43,35,32,36
41.26,45.22,14.96,16.43,21,36,18
47.56,51.4,37.8,29.05,19,50,21
17.23,34.09,10.12,35.49,18,29,35
38.24,53,20.86,13.91,42,40,47
47.12,40.28,26.82,38.24,44,52,41
4.37,4.03,21.29,40.59,26,59,15
36.23,41.02,17.38,17.2,47,45,42
20.73,28.11,11.31,39.75,48,41,39
79.18,58.18,29.23,57.69,25,15,31
19.83,24.62,21.65,27.74,29,39,29
30.4,28.91,20,18.31,16,37,9
40.2,33.62,24.93,38.87,44,35,34
15.71,14.65,14.4,37.25,34,21,23
17.09,19.6,18.64,43.34,30,19,26
30.83,14.09,24.32,40.87,51,34,27
32.51,42.84,15.24,16.49,35,18,44
52.55,43.61,26.34,44.82,83,84,43
26.73,41.27,26.73,16.56,31,24,23
17.08,25.88,20.85,25.87,39,44,54
35.05,28.42,24.38,28.59,67,58,50
12.54,21.92,14.2,17.6,22,47,20
32.26,36.29,27.79,38.19,41,47,27
34.62,38.68,19.17,38.9,22,8,13
50.01,49.4,30.9,27.56,32,14,22
28.26,34.25,21.43,21.32,50,37,42
66.6,39.3,20.83,26.48,50,62,23
41.6,35.58,40.62,57.7,30,40,37
46.79,51.65,27.5,26.77,38,29,48
68,20.29,31.43,40.12,80,56,68
10.3,16.51,3.28,14.85,43,38,48
15.11,28.19,17.31,23.47,30,27,28
40.51,37.56,30.91,32.07,31,38,43
18.67,21.68,22.63,26.46,28,24,23
31.23,38.92,3.58,7.89,31,17,26
40.11,38.12,13.58,29.32,67,44,53
20.01,22.63,19.45,24.7,49,33,44
14.88,20.69,17.18,16.41,48,38,46
32.8,14.99,29.53,43.3,52,33,42
17.41,29.67,18.55,26.79,38,31,41
62.75,42.91,47.58,73.15,38,46,45
9.06,13.79,30.12,47.61,24,20,33
23.25,42.48,22.9,23.62,41,28,36
25.9,39.44,36.37,54.11,61,60,65
12.85,14.35,16.47,34.04,47,41,47
28.31,38.35,26.14,25.59,30,24,29
18.51,17.95,33.11,43.55,28,34,35
71.47,50.85,50.66,57.99,25,43,38
13.89,18.11,13.08,19.55,23,25,24
42.92,26.66,27.2,38.75,36,20,35
80.08,45.13,37.45,43.45,35,39,39
9.87,19.06,22.25,31.23,27,37,22
20.67,34.8,15.17,14.27,24,13,9
39.89,57.03,30.51,19.9,38,18,33
17.97,21.96,24.02,34.32,20,27,20
16.8,41.66,11.55,5.14,36,52,51
20.99,28.09,22.6,18.91,38,28,43
11.96,16.38,17.5,36.3,49,44,34
54.74,41.81,19.54,40.62,51,38,29
20.23,22.74,21.87,44.25,24,24,24
40.54,43.79,3.33,11.03,19,45,21
21.83,26.77,19.19,22.67,50,23,29
15.86,7.61,43.64,66.17,41,40,41
7.65,20.27,12.45,25.07,42,34,46
11.27,20.85,23.38,27.98,50,46,47
47.9,40.58,39.85,55.55,32,25,32
73.57,25.93,28.7,36.64,57,50,37
19.55,58.81,4.96,18.84,32,13,49
20.95,26.14,27.73,36.8,50,51,53
16.34,25.91,15.6,25.47,27,17,23
25.74,36.7,31.35,31.37,47,34,48
26.3,34.5,23.19,28.21,29,24,28
28.51,62.45,17.49,25.09,81,63,74
17.34,28.7,21.47,29.28,23,22,20
43.99,46.13,28.51,26.7,89,74,63
11,-3.37,9.61,35.82,53,46,35
43.88,65.6,31.65,22.24,19,83,44
31,28.01,16.28,31.05,42,23,29
16.99,20.33,11.37,22.04,50,37,50
23.78,35.01,23.09,22.57,64,64,34
10.79,22.43,7.71,9.78,20,39,38
23.81,33.28,18.63,32.19,39,36,46
20.65,28.2,24.88,28.14,25,29,25
8.3,12.56,11.98,14.73,40,35,48
19.42,32.68,7.27,20.86,44,31,47
30.04,31.71,19.98,23.58,37,39,38
23.66,32.78,16.66,16.98,38,30,43
19.72,28.68,18.14,16.12,68,72,54
18.39,23.94,20.18,21.57,38,137,41
5.85,19.37,19.08,31.5,36,17,23
22.6,26.13,24.16,28.21,25,25,18
30.82,38.14,10.62,20.42,25,18,21
34.96,37.98,21.42,23.99,33,24,22
18.86,7.83,28.53,52.39,66,80,29
21.53,36.72,11.17,21.65,47,98,31
54.94,31.01,38.68,29.99,29,30,27
23.28,31.25,22.18,33.05,29,29,26
17.81,37.28,14.84,30.68,45,34,55
20.06,31.05,19.9,19.35,49,57,53
19.82,4.28,54.06,67.64,27,19,26
16.94,34.78,14.03,31.67,36,33,37
16.71,18.44,21.59,43.35,28,26,21
10.34,16.7,21.67,43.68,32,27,23
25.04,35.33,18.8,20.04,35,21,26
74.38,46.99,38.88,53.36,24,38,22
8.16,11.44,24.86,29.72,42,41,36
17.77,16.05,28.82,43.73,33,36,41
63.74,60.26,32.08,16.11,44,87,65
17.95,25.84,22.44,36.4,29,16,20
70.56,27.21,31.29,25.58,55,38,33
28.98,35.68,23.83,18.1,43,33,41
12.03,27.14,9.76,18.02,29,44,43
55.78,21.66,24.78,32.57,53,37,46
70.08,45.31,40.42,50.63,20,64,25
108.5,55.08,70.72,73.41,31,22,25
41.83,55.67,34.94,24.92,21,12,30
55.19,19.35,24.67,59.8,30,63,18
13.02,10.75,23.79,36.2,39,38,22
17.81,18.27,16.4,26.74,18,31,25
79.33,57.31,36.98,31.33,36,17,36
78.97,54.33,52.7,53.08,51,39,36
15.68,6.82,26.06,45.73,17,83,44
41.73,19.68,13.09,24.27,36,20,14
23.28,22.62,38.24,46.5,40,45,43
12.11,16.92,17.25,23.25,86,83,67
36.53,28.81,24.41,31.53,52,35,28
15.75,19.44,16.6,28.22,39,41,40
21.23,28.66,24.71,29.1,53,36,46
8.57,15.64,12.75,10.22,21,35,37
56.17,54.7,32.09,45.3,52,53,40
10.24,35.6,3.78,21.26,52,33,39
39.05,10.31,7.99,31.27,102,90,60
24.95,22.66,19.29,28.72,41,26,38
19.38,29.78,11.53,19.07,46,31,30
82.38,47.57,36.98,34.15,35,45,20
19.83,15.67,36.92,63.81,26,50,19
15.1,29.93,1.4,9.64,46,17,45
16.8,26.62,17.8,25.56,40,38,39
27.88,48.34,20.08,18.51,51,49,46
15.67,21.89,16.11,18.4,84,92,42
48.9,65.16,18.96,19.11,43,35,49
41.3,33.53,12.32,17.71,10,44,34
24.63,31.77,20.55,18.34,43,38,45
11.16,31.41,6.69,17.22,26,21,24
71.88,62.87,38.57,20.18,18,45,15
14.18,52.08,9.17,14.42,35,41,45
41.03,41.96,12.81,19.98,23,41,20
24.21,22.68,18.18,23.65,34,33,56
53.66,41.6,28.77,18.52,26,15,28
38.65,41.18,21.52,20.38,38,36,30
