Original Image,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
48.36,50.92,22.17,6.36,40,20,32
24.07,32.38,7.25,4.34,24,9,12
28.97,35.92,6.84,4.91,24,6,17
20,15,25,19,30,22,25
4.3,5.12,11.18,19.32,5,22,15
36.02,47.5,22.49,7.4,39,15,24
5.92,10.55,6.93,14.22,5,8,16
5.95,11.93,5.3,6.92,10,10,8
35.75,43,27.26,12.81,33,12,30
46.82,49.59,36.36,21.97,44,26,23
50.34,59.92,39.31,9.79,48,21,48
7.45,20.34,11.55,13.24,16,10,15
5.48,13.23,6.47,9.05,6,10,13
7.64,28.11,6.96,9.56,22,7,23
5.76,6.15,11.3,17.34,5,11,13
5.47,16.99,4.27,5.82,28,8,4
42.97,49.02,25.87,13.2,44,13,25
10.44,28.27,3.52,9.78,16,4,19
6.23,7.44,9.66,15.83,11,11,7
26.84,44.87,18.16,5.02,23,5,31
8.84,7.1,9.06,11.74,15,9,7
59.59,58.18,44.63,20.18,40,41,54
55.06,53.01,42.27,7.4,48,41,45
16.61,28.29,16.61,17.11,23,13,22
51.67,50.41,35.82,11.52,42,45,20
34.11,40.87,29.87,9.58,47,30,23
46.54,63.23,21.28,5.76,26,27,17
44.16,33.14,13.18,17.11,8,16,24
51.82,48.12,31.58,6.72,36,41,12
43,49.38,28.37,6.52,41,28,31
4.96,11.72,9.69,25.17,2,12,9
46.77,53.75,44.17,10.32,42,44,16
4.2,3.96,6.57,16.43,2,9,3
7.52,8.32,11.69,14.22,4,11,13
30.24,45.71,24.7,5.81,45,27,28
19.83,24.62,7.22,9.12,18,5,24
12.68,22.52,8.34,9.45,33,10,14
52.84,46.78,37.18,8.07,46,37,16
6.43,7.07,11.76,22.88,7,17,8
4.7,6.14,8.44,13.67,7,7,7
7.7,7.93,10.33,17.73,3,17,6
1.92,6.13,11.76,23.18,2,11,10
39.34,43.29,26.26,10.42,37,35,17
22.14,22.45,15.39,8.11,32,11,10
9.17,13.26,7.32,12.23,11,8,7
46.84,41.67,30.34,7.19,42,37,13
7.39,21.75,6.35,7.12,17,7,5
60.91,59.37,36.27,13,43,35,42
59.24,52.72,32.67,10.29,45,29,39
25.15,50.49,20.95,4.07,32,19,45
5.1,13.59,6.93,10.86,6,9,5
40.84,46.26,30.32,7.76,42,14,26
25.57,33.97,33.9,20.34,44,31,29
13.71,27.03,5.38,6.14,22,5,10
52.66,58.55,28.41,5.7,45,9,24
45.88,56.86,23.82,2.82,36,24,29
9.29,8.64,10.54,14.09,6,11,11
33.38,38.37,25.46,14.68,38,19,30
47.46,52.42,26.12,8.08,32,20,45
49.28,53.53,47.89,34.64,48,12,30
24.53,21.24,9.83,13.51,17,13,14
49.09,48.99,36.37,16.22,45,35,40
11.14,13.36,14.55,18.1,4,17,12
49.18,26.86,22.21,7.03,28,42,15
27.92,37.9,24.52,7.04,41,18,32
3.86,5.12,14.45,19.78,2,12,16
22.92,32.5,9.7,12.04,21,12,22
9.6,8.56,13.72,18.19,9,12,16
47.62,44.93,29.96,13.76,32,29,23
49.34,56.47,29.88,3.53,33,20,49
8.23,5.84,9.89,13.55,8,10,4
9.85,6.73,9.54,16.45,14,8,14
35.14,25.73,21.76,5.21,24,42,12
38.68,44.13,32.08,14.2,42,17,36
46.88,47.68,35.59,13.09,42,28,42
16.07,23.94,12.52,10.6,30,22,20
45.95,50.94,30.93,11.57,44,24,37
43.84,49.56,32.97,6.22,37,29,45
10.32,12.23,9.26,11.28,19,9,9
57.12,59.38,28.37,5.71,41,40,52
16.61,26.34,7.78,18.42,39,17,15
4.48,6.18,8.43,18.7,4,7,4
4.67,6.39,7.32,15.5,12,11,6
36.14,35.11,24.46,10.94,29,17,28
19.98,40.03,7.78,6.24,31,8,5
5.09,7.8,8.65,11.38,13,14,9
14.68,38.39,5.72,3.92,21,12,7
6.75,8.34,6.88,11.93,15,8,6
8.22,10.76,7.32,7.98,16,9,7
56.1,57.97,42.06,7.99,39,45,23
6.94,10.02,10.8,13.57,24,13,9
44.6,47.18,19.65,10.38,31,12,17
53.57,53.15,33.23,24.6,44,37,23
48.16,54.92,33.48,11.47,46,22,40
45.71,49.99,25.2,6.12,34,20,30
13.23,7.37,14.56,19.07,4,20,15
35.21,52.02,28.15,11.9,44,14,32
12.1,34.72,7.24,8.59,20,17,14
2.24,33.83,3.13,7.32,18,5,3
4.35,29.99,12.87,3.79,14,21,35
27.82,33.89,21.04,14.11,34,26,20
7.42,44.03,7.78,13.22,15,12,24
51.97,55.77,37.06,5.52,45,28,47
51.89,54.15,29.55,14.06,39,19,8
7.92,6.8,9.07,12.7,16,13,9
22.52,26.65,15.18,15.79,31,12,20
51.2,45.96,39.87,20.29,38,17,32
36.88,34.74,14.78,9.76,23,10,12
6.32,14.42,4.69,16.24,19,7,12
53.32,41.05,15.53,8.75,22,31,28
2.98,11.3,10.43,11.97,8,9,22
37.47,50.26,16.27,16.03,33,12,23
40.22,48.5,26.89,6.26,37,15,32
6.37,8.25,20.2,29.71,1,16,14
47.08,54.7,29.84,4.28,33,23,36
2.96,4.34,9.94,19.14,3,7,8
36.98,41.21,23.08,14.81,42,22,31
2.97,4.57,12.45,23.93,8,8,14
14.12,27.7,12.89,6.88,37,10,26
12.86,6.9,14.41,23.58,2,26,19
11.28,7.11,12.93,23.14,3,14,7
53.34,56.65,36.66,15.72,47,32,36
51.65,60.24,35.22,4.21,50,47,24
47.47,46.78,22.42,6.99,35,26,25
29.35,38.44,14.8,10.9,36,15,21
40.58,42.99,9.4,12.33,20,11,16
27.29,42.24,14.57,9.97,30,18,40
41.36,34.02,23.78,13.85,40,29,35
5.28,33.93,11.31,23.68,6,16,23
8.1,9.48,6.2,6.08,25,10,33
59.93,58.09,44.03,9.2,53,46,28
5.36,8.64,10.59,17.11,10,10,7
53.36,44.17,24.63,7.53,22,43,20
1.13,2,8.64,18.29,2,3,10
25.81,53.65,8.05,3.98,24,5,42
4.25,9.62,4.74,15.28,8,10,4
58.73,57.88,37.71,21.65,46,24,43
45.23,49.95,16.59,5.82,33,28,17
5.16,13.61,3.21,10.18,23,7,11
34.33,39.12,17.55,9.74,40,15,17
4.15,5.6,12.41,17.19,4,7,7
55.92,58.58,32.82,8.42,41,29,41
34.04,33.95,24.66,13.68,37,24,30
31.53,50.38,13.84,4,32,27,14
27.9,30.67,19.38,13.97,31,25,19
27.77,57.46,27.07,3.55,38,27,32
11.11,26.86,40.19,17.85,55,41,64
53.27,49.44,30.62,12.53,42,36,19
49.42,45.97,30.9,27.41,26,20,9
29.79,36.48,18.95,14.29,34,18,30
17.51,10.06,13.94,13.13,29,14,14
46.17,45.74,13.51,10.74,33,14,17
56.89,58.44,39.53,12.78,44,41,42
11.76,10.56,8.16,14.92,16,19,20
50.12,60.16,45.75,27.13,47,35,40
33.43,38.65,22.34,13.77,32,19,26
3.65,7.13,4.58,10.36,15,8,4
13.45,16.16,9.6,8.54,23,12,13
9.43,18.93,6.81,10.58,15,14,17
46.85,45.92,28.87,13.21,38,24,41
10.31,17.7,4.08,6.09,13,7,12
47.45,58.83,24.08,10.11,37,29,20
6.94,7.6,7.1,9.24,17,8,8
8.19,8.07,9.42,14.03,15,11,10
43.87,53.91,36.85,9.6,41,7,39
40.52,42.21,27.68,13.14,40,18,26
12.43,10.69,16.32,16.09,5,16,24
39.65,37.36,23.38,9.15,36,38,27
5.14,11.56,4.41,10.28,5,8,12
6.93,13.67,6.66,9.66,47,10,16
42.01,48.59,22.75,12.18,37,22,21
29.21,28.61,22.72,9.59,28,25,33
54,32.8,14.24,10.5,23,30,23
26.42,24.6,28.15,17.67,39,26,30
4.61,8.73,19.79,13.61,38,10,17
8.69,9.06,9.4,19.29,18,11,7
5.72,5.95,7.35,20.75,2,13,10
47.79,42,32.39,14.36,49,31,42
25.99,33.17,20.06,9.97,35,10,36
38.25,55.18,32.43,16.49,48,31,45
10.01,8.88,16.33,19.68,3,17,12
6.37,15.01,4.79,15.81,8,12,10
8.3,16.21,10.47,7.99,29,11,11
30.02,45.49,30.34,12.08,39,18,32
5.08,30.98,6.5,8.05,18,16,11
1.59,5.89,4.36,16.07,14,6,4
61.48,23.14,31.01,5.81,47,53,16
7.35,6.62,13.85,19.27,3,13,15
39.6,34.07,28.72,14.21,43,31,20
34.51,37.45,15.71,7.83,26,17,30
43.63,43.36,22.82,10.37,40,31,21
4.1,9.6,5.1,10.45,20,6,6
51.63,52.44,47.01,15.1,54,16,53
38.42,44.35,36.39,15.23,40,36,36
5.36,39.12,15.08,21.49,6,13,30
42.72,60.24,36,7.57,52,18,45
6.77,9.91,8.58,10.99,19,9,8
7.3,10.68,10.72,13.28,4,11,14
39.51,46.24,32.91,14.12,42,40,24
49.75,49.89,30.05,7.59,40,39,13
26.16,29.06,18.42,5.1,33,16,27
32.67,21.12,10.9,9.82,32,20,14
26.97,48.95,13.09,4.2,33,10,18
7.48,7.18,12.71,21.83,3,13,11
4.59,5.37,10.71,18.23,3,11,6
12.83,9.83,16.24,23.03,5,17,13
2.27,10.76,3.34,9.27,14,5,4
10.79,17.46,5.65,10.5,24,8,6
4.06,5.26,8.95,15.91,11,11,10
7.79,10.06,9.93,11.06,7,9,13
15.91,4.26,16.84,27.28,3,15,13
8.85,7.9,7.81,12.69,19,11,8
33.44,46.82,21.67,10.89,31,12,21
4.08,36.21,5.27,9.71,23,7,16
7.29,13.96,5.72,17.58,8,9,6
11.84,7.7,9.25,16.95,18,9,19
43.94,51.32,22.62,8.42,31,24,36
44.7,44.59,13.18,12.62,26,14,20
40.4,17.85,16.72,3.41,35,33,15
38.91,44.76,33.79,19.08,47,25,34
13.02,7.12,16.57,21.08,3,19,19
29.59,10.08,7.83,7.86,11,25,21
29.14,50.83,25.31,5.65,29,32,26
18.48,16.87,10.51,8.8,29,10,16
48.69,59.78,42.25,10.04,49,46,31
7.01,9.67,9.45,17.64,12,15,13
25,26.1,36.11,9.6,9,19,22
29.67,29.85,7.42,4.65,21,9,7
42.36,48.36,31.99,6.53,45,20,52
12.68,13.4,15.87,21.43,13,17,17
11.5,6.22,10.97,18.91,3,11,23
40.87,46.22,16.02,4.66,22,9,23
51.26,53.94,37.99,4.72,42,44,35
9.15,14.67,10.9,13.06,14,12,19
7.77,14.15,6.89,9.99,13,11,14
32.77,45.43,31.4,12.01,38,31,15
24.22,29.3,20.74,16.82,36,17,24
37.38,49.86,18.84,4.34,41,12,30
8.8,26.27,3.48,7.47,16,3,4
11.39,22.55,5.24,8.38,22,5,12
16.73,24.48,8.53,9.81,27,8,9
57.79,40.74,15.79,4.53,20,14,25
37.83,44.22,26.28,10.32,44,20,33
6.17,24.54,6.37,8.69,4,10,6
12.66,18.54,9.52,10.88,13,10,17
59.12,47.65,30.1,9.48,43,46,29
3.59,4.68,15.66,22.03,5,18,22
39.22,46.38,27.23,6.09,39,27,39
39.53,42.24,13.43,10.17,35,13,27
11.26,5.44,10.4,25.71,6,14,16
53.29,57.6,38.29,8.22,44,35,54
5.67,25.88,4.05,11.54,17,4,10
44.96,50.31,33.38,8.96,44,22,42
12.29,22.08,5.13,6.58,17,8,16
13.5,12.64,13.98,18.32,5,18,10
18.72,11.75,18.38,27.41,3,21,12
7.36,24.84,5.5,16.39,13,18,6
65.01,50.42,36.27,13.23,48,39,37
4.38,35.37,4.78,15.3,14,16,9
16.52,15.76,17.4,24.88,6,24,13
10.36,16.57,8.15,5.49,25,19,13
7.39,17.54,8.31,11.55,15,9,10
50.29,52.48,35.75,12.04,47,30,45
7.26,6.6,17.66,25.93,2,19,17
70.43,27.86,23.52,7.37,34,18,21
6.13,16.59,7.75,14.74,21,15,9
7.41,18.52,6.68,11.05,15,5,8
24.57,34.13,14.44,7.47,33,10,14
8.28,8.65,10.97,13.11,13,11,10
45.36,38.49,15.77,6.24,33,24,19
5.75,20.2,5.83,11.54,6,7,11
7.33,23.97,9.52,9.56,12,12,12
10.22,18.82,6.03,10.15,22,8,6
3.41,3.77,3.64,7.05,4,9,10
6.77,7.39,7.16,13.45,19,10,6
8.19,8.3,17.73,22.29,4,19,25
43.76,50.6,30.68,7.52,42,11,43
4.43,8.12,5.14,9.85,4,5,7
36.39,41.33,20.02,14.86,35,21,27
49.05,52.73,29.51,6.37,40,11,36
3.96,3.6,10.81,20.24,2,11,8
7.57,5.08,20.48,25.35,3,19,20
16.14,14.05,12.07,15.71,24,12,20
48.59,50.84,33.36,15.71,46,25,34
17.79,12.37,15.86,22.69,2,16,10
39.83,42.28,32.34,8.46,41,31,45
16.19,24.89,11.51,16.13,22,14,15
49.59,42.12,23.5,3.4,24,8,15
6.42,6.06,6.36,12.56,11,10,4
45.74,16.09,19.96,7.31,28,40,20
49.3,46.96,40.88,16.88,54,19,37
40.77,45.62,31.57,13.03,44,24,33
19.81,12.05,4.69,10.85,2,2,3
4.53,22.42,7.84,14.44,25,10,18
8.6,14.77,4.02,7.41,3,5,6
9.42,5.73,9.25,17.59,3,15,12
31.41,33.01,16.39,15.2,31,16,19
4.62,3.91,7.96,20.32,4,15,11
16.98,25.71,7.34,10.61,29,7,10
7.45,20.18,3.38,7.6,16,17,20
43.7,52.61,24.71,5.83,26,16,38
28.62,45.83,19.16,3.07,32,17,31
6.04,9.97,7.45,9.21,16,10,9
52.6,57.91,27.66,2.84,30,8,25
44.9,56.02,39.54,9.84,46,21,32
20.41,21.25,5.99,7.34,23,20,23
6.57,7.13,12.6,14.67,2,13,14
43.7,60.87,34.16,8.99,46,12,49
39.35,40.47,22.1,11.81,42,24,30
4.6,9.05,8.22,18.42,17,11,22
24.64,31.71,11.16,4.89,25,11,28
34.13,44.46,21.83,11.55,35,23,28
3.33,5.82,6.39,9.29,12,8,4
33.85,53.98,30.31,18.44,43,17,47
6.86,9.33,8.05,14.26,6,9,8
35.44,49.7,23.48,4.89,43,16,39
51.16,55.55,38.39,4.88,45,13,43
9.35,15.02,8.5,17.27,14,16,26
50.8,53.48,33.79,11.61,45,29,25
45.64,57.08,30.53,4.19,43,33,44
10.68,18.52,4.06,6.12,4,4,27
40.2,23.96,9.77,11.9,21,20,15
55.86,50.8,41.33,10.81,49,36,52
35.18,52.86,19.5,11.48,34,21,25
5.92,12.13,9.3,16.87,4,14,10
3.4,5.89,7.8,16.47,10,10,7
12.03,13.06,8.77,13.81,7,15,20
6,19.21,10.92,15.6,7,12,5
13.27,14.69,9.7,18.7,8,12,9
41.37,43.35,28.23,13.92,42,20,29
18.93,17.67,3.91,5.35,15,5,21
4.38,2.39,17.64,25.58,2,14,7
31.99,37.83,11.76,14.99,24,12,18
41.97,49.67,24.95,7.88,38,33,13
37.18,37.09,23.39,18.95,27,38,13
4.74,17.14,6.65,15.96,20,8,11
53.34,56.73,33.2,9.07,40,12,12
13.48,18.86,5.27,8.16,17,7,9
4.02,11.85,5.28,6.3,16,5,9
41.19,54.64,28.02,7.44,42,28,39
5.61,13.66,8.9,15.05,4,11,18
28.79,48.85,32.19,7.82,42,29,41
39.8,50.55,41.13,12.33,46,33,11
6.51,5.93,15.58,23.13,3,19,19
9.87,5.21,7.07,22.53,9,13,13
55.59,51.46,37.57,2.58,33,43,30
46.63,48.79,26.66,7.68,40,27,39
21.05,32.77,9.21,11.57,33,14,8
45.49,57.37,36.58,5.72,43,38,30
22.8,38.99,15.04,11.22,34,19,25
18.69,15.5,20.47,29.6,5,24,14
8.56,15.49,10.24,15.11,9,13,15
3.74,4.51,15.81,27.61,2,13,13
20.43,25.15,15.45,9.15,29,5,13
51.16,59.68,37.15,17.78,54,27,29
41.33,47.39,26.55,14.14,43,20,28
47.56,47.87,22.44,3.96,35,33,22
38.95,33.92,10.86,11.26,23,23,23
3.99,5.31,7.23,13.24,3,10,9
6.54,13.44,6.51,10.68,18,6,13
5.77,15.02,7.91,14.75,10,9,36
15.97,19.77,5.59,11.02,2,13,18
46.15,51.21,26.51,17.68,43,30,16
32.07,56.32,43.8,17.94,38,38,38
3.65,7.43,7.96,11.62,18,7,13
32.4,39.27,19.96,13.25,39,22,22
45.35,56.17,30.81,11.76,40,21,37
6.1,3.93,9.71,19.26,2,15,9
48.44,51.17,40.81,7.27,37,22,15
53.06,51.68,28.43,6.03,35,10,28
25.54,38.64,18.88,10.03,38,20,34
11.76,8.87,9.2,13.26,12,11,6
5.95,9.36,8.48,13.5,16,9,9
33.56,29.61,5.53,11.03,22,15,14
50.12,50.11,34.61,12.3,46,34,41
62.66,63.31,23.9,3.04,31,27,48
6.95,8.35,9.46,17.74,3,5,12
32.08,38.09,8.12,7.59,27,8,10
53.04,55.7,29.92,5.84,37,29,46
46.94,46.24,20.74,10.3,39,13,20
31.04,41.17,28.18,14.3,45,25,32
6.3,7.93,9.67,13.5,5,10,12
48.56,32.23,13.71,6.72,29,18,11
43.41,49.69,28.78,7.83,42,13,37
52.2,63.42,41.54,19.16,52,39,48
51.11,58.85,48.64,19.56,49,48,13
10.4,9.92,14.29,18.56,4,15,11
38.13,44.44,30.84,10.81,37,23,35
8.51,9.48,10.41,10.81,9,10,7
55.3,59.74,37.51,3.93,38,28,55
16.21,10.82,18.9,25.69,3,29,21
32.62,28.25,20.57,13.78,29,16,21
12.35,13.58,8.28,19.24,25,8,9
47.77,37.02,34.03,11.53,42,35,28
12.24,9.4,15.14,17.81,3,20,19
4.28,2.98,11.48,22.83,2,16,14
45.68,38.02,33.42,11.67,45,55,14
3.59,10.08,5.07,10.21,3,13,6
42.72,41.92,13.06,9.09,26,29,14
8.72,9.9,8.97,10.35,17,7,17
36.51,40.18,19.28,10.13,35,16,28
7.22,11.47,6.04,13.19,7,8,8
3.96,5.09,3.48,6.67,5,11,9
3.24,13.38,9.17,10.96,5,12,10
6.78,10.4,7.55,8.77,17,7,9
42.63,45.61,20.49,16.15,34,46,8
35.99,19.59,14.93,9.27,26,33,20
10.64,3.97,10.56,24.11,4,12,13
22.42,2.16,3.19,7.01,2,13,10
10.77,8.22,9.17,16.76,4,14,9
39.71,41.41,15.76,2.39,32,16,39
8.39,7.52,12.94,21.56,4,14,8
3.93,4.56,3.19,10.82,2,6,10
12.34,21.07,8.36,11.29,26,8,9
4.2,3.93,14.51,24.7,2,8,13
49.53,44.14,31.15,10.92,42,18,22
6.97,8.03,10.23,11.42,13,14,11
5.42,12.65,8.43,11.79,22,9,6
37.88,34.46,19.35,8.38,30,15,33
39.92,46.82,28.4,5.84,36,30,23
48.99,56.06,32.97,10.6,44,50,12
54.82,57.58,42.66,21.08,48,18,47
5.19,7.9,8.54,16.02,3,10,5
2.04,2.74,10.54,21.53,2,4,5
21.66,31.31,14.36,13.42,32,14,21
55.2,58.9,44.17,20.85,44,40,40
7.34,9.16,8.6,12.83,15,9,11
12.65,19.04,6.36,17.4,31,17,13
2.87,27.38,3.94,11.07,23,7,27
50.78,57.15,31.88,3.33,43,33,42
8.02,13.75,7.65,9.96,36,10,12
9.69,11.6,13.2,16.89,12,13,9
19.36,23.97,10.66,6.36,35,8,24
20,15,25,19,30,22,25
1.96,17.14,13.49,19.74,6,14,12
42.23,50,35.58,4.44,45,20,52
14.93,39.21,5.2,6.44,24,5,4
9.04,9.6,11.26,18,8,14,6
60.76,63.87,38.46,6.42,40,27,45
44.9,33.57,34.49,13.02,25,41,31
9.78,9.7,12.22,14.19,8,13,8
29.27,36.44,21.47,9.52,38,22,22
7.38,8.88,13.26,18.39,4,9,15
4.97,6.79,8.32,17.3,4,9,7
18.83,19.34,16.62,16.75,15,17,16
44.94,47.94,29.09,4.9,26,25,41
8.39,6.81,17.29,24.87,3,17,15
54.39,58.29,48.63,24.09,45,32,50
9.39,9.92,11.14,15.64,15,12,11
9.09,44.85,41.55,10.64,52,25,46
31.63,37.25,31.6,9.32,32,10,29
28,43.21,31.36,3.69,42,22,46
9.82,10.1,10.1,13.06,7,10,15
6.83,4.9,7.68,13.52,2,8,5
2.19,30.59,3.33,12.84,8,7,28
19.52,8.51,17.72,17.44,31,32,21
43.72,48.74,23.92,8.6,43,18,17
37.81,49.78,11.91,2.77,17,14,27
55.18,57.35,37.44,12.45,47,20,32
26.99,37.35,14.6,8.63,28,11,27
49.76,51.59,33.36,8.85,43,34,47
47.31,62.83,31.65,6.02,41,26,53
21.14,9.51,10.45,12.67,15,14,18
3.54,9.36,5.55,14.08,11,5,7
7.94,7.64,6.37,13.2,10,12,6
53.25,49.15,29.87,6.2,47,30,17
43.6,39.46,15.6,17.11,25,19,26
40.04,48.1,24.34,5.11,33,15,38
7.47,8.77,11.32,19.68,4,11,9
46.84,47.7,28.16,10.55,47,27,34
40.87,49.22,29.54,16.96,36,33,17
55.88,59.79,33.17,15.95,51,37,44
33.4,34.99,16.86,9.26,38,20,14
50.71,29.15,29.19,8.39,37,50,16
12.18,22.53,6.51,19.7,13,21,16
9.08,16.94,6.61,7.17,10,7,6
32.12,55.91,28.87,3.27,41,31,40
8.65,7.88,12.4,19.39,3,15,11
17.02,22.79,19.08,15.09,28,17,23
54.34,42.18,49.73,37.48,64,42,44
3.97,5.65,6.22,19.35,16,10,6
36.04,30.01,34.24,17.71,38,46,15
19.98,34.95,13.08,13.41,26,13,24
22.68,31.42,12.22,14.6,23,16,19
65.46,58.48,31.53,3.62,40,38,47
32.5,55.81,33.29,4.05,39,34,52
56.34,49.7,39.49,21.35,47,23,44
10.86,5.47,10.68,17.44,5,13,4
31.57,46.16,32.31,3.97,25,26,48
50.64,54.88,20.69,3.3,34,36,6
12.49,14.73,9.62,12.19,19,8,14
4.11,6.67,6.51,10.19,9,8,6
9.09,43.88,16.03,12.78,27,21,9
26.65,49.96,12.59,5.15,32,21,16
16.54,22.07,13.3,17.34,17,15,18
65.91,51.16,53.24,39.51,35,35,23
31.8,34.8,45.45,4.86,60,26,21
7.13,15.27,8,7.18,21,7,26
4.1,13.39,4.7,5.84,20,6,16
35.68,35.35,23.14,11.63,36,22,30
52.93,60.19,36.32,12.3,49,32,46
3.56,33.7,5.01,7.17,7,6,24
7.05,7.08,10.14,16.8,13,13,7
