Image with Poisson Noise,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
22.94,25.6,27.51,42.91,41,41,51
42.8,42.12,18.66,48.75,28,37,46
30.29,27.87,38.62,39.75,36,33,41
21.98,28.92,5.03,45.03,40,39,44
16.43,28.4,18.49,23.14,48,43,43
72.71,43.67,30.08,53.64,42,36,40
24.27,21.88,30.26,45.8,30,41,39
25.54,17.58,32.86,53.12,44,34,32
17.07,17.66,24.1,39.39,41,94,42
7.87,9.73,22.22,39,87,96,45
12.2,12.06,18.84,36.73,29,39,28
18.8,12.13,30.97,54.43,25,21,17
38.94,43.35,32.41,51.86,38,26,25
14.01,45.43,17.9,40.29,99,104,83
13.22,15.84,26.84,48.6,81,78,52
52.95,45.83,53.39,64.4,45,33,37
67.98,17.35,14.28,34.19,30,38,57
38.67,34.13,36.84,63.77,40,21,41
26.76,31.84,31.16,53.03,37,33,51
26.32,34.28,29.05,39.95,93,104,78
28.96,32.36,18.48,26.27,33,30,26
44.22,21.99,21.8,46.49,53,42,56
28.05,15.52,24.76,49.66,40,35,36
25.33,20.84,42.22,76.28,27,17,29
38.34,33.43,14.51,32.96,29,28,47
20.63,14.72,28.39,46.71,36,48,37
0.96,0.44,14.22,44.65,51,40,37
9.3,16.33,17.68,36.46,67,27,39
16.39,18.86,22.27,39.01,56,46,44
17.93,28.45,13.89,22.82,27,18,18
25.91,17.52,29.54,33.87,28,60,27
11.39,5.37,18.09,32.17,63,51,44
9,8.76,21.63,47.13,79,78,55
24.94,28.7,31.9,49.49,56,41,48
30.09,20.28,51.02,66.1,13,55,40
37.57,51.04,35.51,52.43,31,62,25
32.81,31.91,34.8,41.69,27,39,32
14.97,4.38,28.51,47.9,17,30,22
22.18,23.37,29.79,43.69,28,30,27
17.49,18.32,20.59,33.62,23,27,17
12.86,13.35,23.43,43.23,27,24,27
17.15,24.49,28.36,48.19,24,22,24
23.72,28.69,35.85,54.36,23,39,23
18.47,16.69,29.07,50.07,31,34,37
50.68,40.44,45.88,52.17,50,56,42
13.77,21.55,27.74,27.19,41,79,25
11.72,9.72,29.66,44.99,20,22,38
70.63,45.83,34.38,57.16,56,63,60
30.09,33.51,25.39,37.03,36,45,29
11.7,12.1,22.47,27.7,23,23,33
30.11,30.85,27.9,36.76,64,57,25
19.55,6.03,45.41,62.32,15,47,37
17.14,21.69,18.56,25.11,27,23,31
17.01,4.04,9.6,38.36,31,23,28
20.42,42.45,25.02,22.47,54,65,21
34.75,41.9,28.55,44.21,67,77,27
27.1,37.52,27.01,39.28,47,27,29
19.42,8.42,15.87,40.59,27,42,16
17.79,24.09,31.08,47.47,29,30,38
23.7,20.5,22.23,30.18,26,21,23
16.78,27.22,23.85,38.96,27,39,20
26.86,8.87,29.71,45.5,24,52,21
26.4,37.33,31.7,51.4,20,64,25
24.73,20.12,32.86,47.01,17,73,57
33.42,37.49,32.9,38.07,33,37,37
12.94,11.45,21.14,35.3,24,33,21
38.27,14.34,37.54,52.91,23,56,42
11.35,13.03,25.7,44.52,27,35,29
22.97,28.46,25.82,41.84,20,39,38
22.43,20.91,30.05,36.1,25,26,37
16.54,16.22,26.64,39.5,34,49,22
8.44,27.66,15.24,35.78,30,21,24
9.44,20.68,20.85,30.22,27,18,23
24.53,22.73,26.53,38.21,52,49,16
70.09,40.4,29.98,78.34,64,76,52
10.62,13.17,24.61,48.44,14,44,25
7.2,15.22,23.38,45.27,21,41,25
25.84,15.98,34.11,39.39,25,41,21
22.1,21.96,23.7,35.22,33,39,26
14.15,17.44,17.03,26.53,21,24,17
21.12,29.42,22.27,45.8,27,35,22
12.27,13.18,18.99,34.42,24,38,17
33.46,36.26,14.07,40.77,31,36,32
35.35,34.2,21.71,40.83,58,122,55
63.41,51.04,31.13,48.01,68,55,46
18.88,15.76,17.18,36.68,25,32,14
37.97,23.51,59.1,71.84,12,60,48
23.87,7.91,29.05,49.82,21,49,5
12,19.41,12.79,20.41,35,17,21
39.23,23.9,11,50.52,40,39,27
9.22,25.65,12.24,44.18,35,46,22
20.11,20.22,26.25,32.77,21,30,26
47.73,42.12,36.76,60.61,52,87,40
22.48,40.02,29.39,42.42,32,68,34
13.7,10.74,16.18,26.89,21,36,18
22.58,21.48,20.57,34.51,29,64,22
63.37,30.33,8.2,17.83,51,46,38
14.71,14.45,35.76,51.88,21,35,37
33.84,27.59,25.03,33.33,39,37,30
30.13,22.54,30.22,42.94,29,52,26
38.57,35.67,30.46,43.12,31,41,39
14.28,14.33,16.62,28.61,23,18,13
24.74,12.06,22.71,43.02,28,49,16
38.72,19.72,36.98,49.84,19,83,44
55.2,24.65,14.94,26.64,57,43,48
20.2,15.14,20.5,32.07,29,53,66
13.46,19.26,2.2,15.07,29,13,35
25.39,43.42,-3.67,32.58,51,22,22
16.79,13.78,20.32,32.64,22,17,32
34.57,19.48,25.09,44.54,45,102,32
34.23,23,27.99,47.11,59,83,25
37.41,34.09,34.31,47.97,47,65,22
28.19,23.03,48.83,62.68,16,50,51
21.49,25.06,26.35,37.97,31,29,27
16.64,19.33,14.45,45.61,22,25,21
13.34,15.5,21.6,37.38,33,21,30
17.22,13.32,20.15,35.66,24,36,29
20.32,46.56,23.58,47.81,20,46,35
32.23,30.14,30.01,55.15,25,55,24
22.09,27.09,29.47,51.35,32,27,19
43.86,43.13,51.04,63.4,34,71,37
6.9,9.93,5.68,33.44,29,15,14
21.13,24.56,31.6,37.55,25,32,30
18.92,27.08,21.75,38.28,28,33,22
